Ingredient List,Sweeteners?
"EMULSIFIERS [481(i), 471 & 472e], RAISING AGENTS [503 (ii), 500 (ii) ), EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), PRESERVATIVES (280, 281 & 200], Palmolein, Double Toned Milk",nil
"Thiamine hydrochloride, calcium lactate, calcium propionate, ANTICIDANT [300]",nil
"Edible Vegetable Oil (Soyabean, Palmolein), iron ammonium citrate, chymosin, beta carotene",nil
"PRESERVATIVE (211), Milk solids, BHA, Maple sugar, mineral (Calcium carbonate), ANTIOXIDANT, EMULSIFIERS (322,412,472e,471)",Maple sugar
"disodium guanylate or inosinate, Refined Soyabean Oil, Xylitol, Refined Wheat Flour, niacin, lactase",Xylitol
"Peas, calcium propionate, ANTICAKING AGENT(INS 554), iron ammonium citrate",nil
"ARTIFICIAL SWEETENERS, ROLLED OATS, Leavening agents ((5000), 503)), Sodium Polyphosphate (Emulsifying Agent, E452(i)), Vitamin E",nil
"sucralose, Leavening agents ((5000), 503)), RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), OATS",sucralose
"Natural flavoring, Edible Salt, Organic Whole Wheat Flour, NATURAL SPICE EXTRACTS",nil
"SYNTHETIC FOOD COLOURS (INS 102 & 133), ANTICIDANT [300], cochineal extract or carmine, WHOLE WHEAT FLOUR(ATTA), hydrolyzed soy protein, Cocoa Solids",nil
"ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, neotame, guar gum, Class II Preservative (INS-211), Peas, Glycerin",neotame
"COMMON SALT, OATS, FD&C Red Nos. 3 and 40",nil
"Vitamin B1 (The chloride hydrochloride), microparticulated egg white protein, Stabilizer (407), WHEAT FLOUR, beta carotene",nil
"STABILIZER (E 440), Vitamin B2 (Riboflavin), Lactitol",Lactitol
"EMULSIFIERS (322,472e,471), alpha tocopherols, Organic Jaggery, sugar, Edible vegetable oil (Palm oil), corn syrup, Leavening Agent (INS 500 {i})","Organic Jaggery, sugar, corn syrup"
"Yeast, Palmolein, COCOA SOLIDS, BLACK SALT, sodium carbonate",nil
"Enzymes, Yeast, wheat flour, Citric Acid (Acidifying Agent, E330), Flour Treatment Agent (1100), MILK SOLIDS",nil
"EMULS 472e, 481 (1), Double Toned Milk, azodicarbonamide, Edible Vegetable Fat, RAISING AGENTS[503(ii),500 (ii),450(1)], EMULSIFIERS (322,412,472e,471), HYDROGENATED VEGETABLE OIL",nil
"cochineal extract or carmine, Toned Milk Dahi, LEMON JUICE CONCENTRATE",nil
"sodium nitrite, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), Palm oil",nil
"BUTTER, Edible Salt, EDIBLE VEGETABLE OILS (PALM), high fructose corn syrup",high fructose corn syrup
"Lactitol, Orange Juice Concentrate, fruit and vegetable juices, HYDROGENATED VEGETABLE OIL, guar gum, tocopherols",Lactitol
"L-lysine, SWEETENERS( 951, 950), Edible common Sequestrant (339(1))","SWEETENERS( 951, 950)"
"ELAICHI FLAVOUR, stabilizer (INS 170), Organic Whole Wheat Flour, ANTIOXIDANT (INS 322(1)), Tricalcium Phosphate, Artificial flavoring substance.",nil
"ACIDITY REGULATORS (338, 331, 330), NATURAL COLOUR (150d), Emulsifier (INS 322), neotame, ARTIFICIAL FLAVOURING SUBSTANCES, L-methionine, Gelatin",neotame
" ACIDITY REGULATORS (330, 331()), Preservative (282), COLOUR(S) (INS 150c, INS 150d), IMPROVERS[170(1) 510], potassium iodide",nil
"Glycerin, Cocoa Solids, Gelatin, Palmolein, Wheat Gluten, aspartame",aspartame
"SYNTHETIC FOOD COLOUR-124, stabilizer (INS 170), Dehydrated Vegetables (carrot, parsley)",nil
"ALMOND, PRESERVATIVE (211), ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, Maltitol, ascorbic acid",Maltitol
"Toned Milk Dahi, Emulsifier (INS 322), EMULSIFIERS (E322, E476)., Aspartame, Purified Water, ammonium hydroxide",Aspartame
"SYNTHETIC FOOD COLOUR (INS 133), Thiamine hydrochloride, COCOA BUTTER, Stevia Leaf Extract, paprika oleoresin, polydextrose",Stevia Leaf Extract
"Whole Wheat, Leavening Agent (INS 500 {i}), WHOLE WHEAT FLOUR(ATTA), saffron",nil
"mineral (Calcium carbonate), Gur, Acidity Regulator (E260), COCOA SOLIDS",Gur
"Emulsifier (322), Vitamins, Cinnamon, sorbitol",sorbitol
"Gelatin, ELAICHI FLAVOUR, Milk solids, NATURAL COLOUR (150d), riboflavin",nil
"ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, Toned Milk, COMMON SALT, FLAVOURING SUBSTANCES",nil
"Maltitol, Leavening agent , Acidity Regulator (260), EMULSIFIERS (E322, E476)., Emulsifiers [471,481 (i)], citric acid",Maltitol
"ADDED ORANGE FLAVOUR, Potassium Chloride (Gelling Agent, E508), Acidity Regulator (INS-330), SYNTHETIC FOOD COLOURS (110, 102), ADDED ORANGE FLAVOURS , Vitamin B1 (The chloride hydrochloride), monocalcium phosphate",nil
"Class II Preservative (INS-211), azodicarbonamide, mono- and diglycerides, ammonium hydroxide",nil
